Id,Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Rings
3141,I,0.18,0.135,0.08,0.033,0.0145,0.006999999999999999,0.01,5
3521,I,0.215,0.15,0.055,0.040999999999999995,0.015,0.009000000000000001,0.0125,3
883,M,0.66,0.53,0.17,1.3905,0.5905,0.212,0.45299999999999996,15
3627,M,0.715,0.525,0.2,1.89,0.95,0.436,0.4305,10
2106,M,0.595,0.455,0.155,1.041,0.41600000000000004,0.2105,0.365,14
3365,I,0.44,0.31,0.115,0.3625,0.134,0.08199999999999999,0.12,11
249,I,0.345,0.27,0.11,0.2135,0.08199999999999999,0.0545,0.07,7
2160,M,0.69,0.55,0.2,1.8465,0.732,0.47200000000000003,0.57,19
3811,M,0.555,0.445,0.13,0.8625,0.4225,0.155,0.24,9
1839,I,0.42,0.325,0.1,0.368,0.1675,0.0625,0.1135,11
3875,M,0.295,0.225,0.09,0.1385,0.048,0.046,0.05,9
66,F,0.565,0.44,0.16,0.915,0.354,0.1935,0.32,12
188,F,0.63,0.48,0.16,1.199,0.5265,0.335,0.315,11
2329,I,0.48,0.39,0.145,0.5825,0.2315,0.121,0.255,15
219,F,0.415,0.305,0.13,0.32,0.1305,0.0755,0.105,8
380,M,0.605,0.47,0.18,1.1405,0.3755,0.2805,0.385,15
218,M,0.47,0.36,0.135,0.501,0.1665,0.115,0.165,10
3171,M,0.525,0.405,0.16,0.792,0.316,0.1455,0.28,13
1766,F,0.375,0.27,0.135,0.597,0.272,0.131,0.1675,7
835,I,0.45,0.35,0.13,0.547,0.245,0.1405,0.1405,8
1958,I,0.65,0.52,0.15,1.238,0.5495,0.29600000000000004,0.3305,10
3946,M,0.525,0.41,0.165,0.8005,0.2635,0.1985,0.25,13
252,F,0.595,0.455,0.155,1.0605,0.5135,0.2165,0.3,12
2500,F,0.48,0.39,0.125,0.6905,0.21899999999999997,0.155,0.2,12
3363,I,0.54,0.405,0.15,0.7585,0.307,0.2075,0.19,10
2374,I,0.435,0.335,0.11,0.38299999999999995,0.1555,0.0675,0.135,12
1232,I,0.37,0.29,0.09,0.2445,0.08900000000000001,0.0655,0.075,7
596,F,0.55,0.43,0.14,0.7135,0.2565,0.18600000000000003,0.225,9
1811,M,0.65,0.525,0.19,1.6125,0.777,0.3685,0.3965,11
918,I,0.41,0.305,0.09,0.3535,0.157,0.0745,0.1,7
654,F,0.37,0.28,0.11,0.2305,0.0945,0.0465,0.075,10
472,I,0.43,0.34,0.12,0.3575,0.151,0.0645,0.1045,9
15,M,0.5,0.4,0.13,0.6645,0.258,0.133,0.24,12
1940,F,0.625,0.52,0.18,1.354,0.4845,0.35100000000000003,0.375,11
3601,I,0.37,0.285,0.095,0.226,0.1135,0.0515,0.0675,8
2714,I,0.29,0.215,0.065,0.0985,0.0425,0.021,0.031,5
4163,I,0.39,0.31,0.085,0.344,0.18100000000000002,0.0695,0.079,7
2340,F,0.59,0.47,0.17,0.9,0.355,0.1905,0.25,11
1271,I,0.47,0.355,0.12,0.39299999999999996,0.16699999999999998,0.0885,0.115,8
3563,I,0.575,0.455,0.155,0.8725,0.349,0.2095,0.285,8
3311,F,0.48,0.38,0.135,0.507,0.1915,0.1365,0.155,12
388,M,0.49,0.42,0.125,0.609,0.239,0.1435,0.22,14
3375,F,0.46,0.33,0.15,0.5325,0.2085,0.1805,0.125,10
1148,M,0.58,0.45,0.145,1.0025,0.547,0.1975,0.2295,8
234,I,0.44,0.35,0.135,0.435,0.1815,0.083,0.125,12
3783,I,0.62,0.48,0.18,1.1305,0.5285,0.2655,0.306,12
2476,M,0.645,0.485,0.155,1.489,0.5915,0.312,0.38,18
36,F,0.54,0.475,0.155,1.217,0.5305,0.3075,0.34,16
896,I,0.255,0.18,0.055,0.083,0.031,0.0215,0.02,4
1521,F,0.68,0.5,0.185,1.7409999999999999,0.7665,0.3255,0.4685,12
3785,M,0.625,0.495,0.155,1.177,0.5055,0.278,0.345,9
2509,I,0.415,0.315,0.09,0.3625,0.175,0.0835,0.09300000000000001,6
4085,M,0.585,0.51,0.16,1.218,0.639,0.24100000000000002,0.3,11
2810,M,0.72,0.55,0.205,2.165,1.1055,0.525,0.40399999999999997,10
3034,M,0.54,0.42,0.19,0.6855,0.293,0.163,0.38,10
1793,M,0.575,0.44,0.185,1.025,0.5075,0.2245,0.2485,10
688,M,0.525,0.4,0.17,0.7305,0.27899999999999997,0.2055,0.195,11
